videoID,posted,duration,views,likes,comments,hashtags,purpose,themes,sentiment,barriers,stakeholders,misinformation,data_supported,seconds
24,2025-02-06,0:54,15700,675,31,"itvnews, dog, pet, food ",News,"economics, sustainability, politics",Neutral / Positive leaning,"pet food, environmentally-friendly","Meatly, FSA",FALSE,FALSE,54
25,2022-12-06,1:36,5100,318,10,"foodpolicy, labgrown, climatechange, gavinwren",Entertainment,economics,Positive,,Mr. Beast,FALSE,FALSE,96
26,2024-04-11,0:47,800,27,6,"cellularagriculture, cultivatedmeat, alternativeprotein, futurefood",Informative,"vegan/vegetarian, sustainability, animal welfare",Positive,"minimize spcies extinction, prevent deforestation ",,FALSE,FALSE,47
27,2023-04-26,0:56,199700,15800,767,,Informative,safety,Positive,,,NA,NA,56
28,2024-07-23,1:03,25100,1907,33,"fyp, foryou, future",Entertainment,"politics, sustainability, animal welfare ",Negative,bypassing regulation,pet owners,FALSE,TRUE,63
29,2023-07-03,1:57,4000,80,26,"cultivatedmeat, health, healthcare, fakemeat, trending",Informative,"sustainability, health, economics",Neutral,framing,Nurses,FALSE,FALSE,117
30,2023-01-05,1:56,1200,58,5,"labgrownmeat, cultivatedmeat, science, technology, future ",Informative ,"economics, politics, sustainability, health",Positive,"lower emissions (methane, reduce deforestation, water usage ",Upside Foods,FALSE,TRUE,116
31,2024-01-11,1:02,30200,3636,25,"sffoodie, cultivatedmeat, upsidefoods, whatieatinaday",Entertainment,"taste, economics",Positive,"real meat, taste",Upside Foods,FALSE,FALSE,62
32,2024-09-05,1:18,389,23,6,"labgrownmeat, gmo",Informative,"sustainability, health",Negative,"sci-fi, scalability, energy-intensitive, food processing",,FALSE,FALSE,78
33,2024-07-31,1:35,4148,444,61,"labgrown, labgrownmeat, ecofriendly, vegetarian, plantbased",Informative ,"animal welfare, vegan/vegetarian",Positive ,"cruelty-free, ethical, reduces animal suffering",Dr. Mark Post (Mosa Meat CO),FALSE,FALSE,95
34,2024-06-17,0:18,1009,39,17,"cultivatedmeat, sustainability, labgrownmeat, animal welfare",Advertising/Informative,"animal welfare, health",Positive,"vitamin/mineral fortification, slaughter-free",Magic Valley Foods ,FALSE,FALSE,18
35,2024-11-18,0:59,1947,101,8,"culturedmeat, labgrownmeat, vegetarianism, veganism, food",Informative,,Neutral,"real meat, bioreactors, growth process",,FALSE,FALSE,59
36,2024-01-08,1:19,2163,36,2,"culturedmeat, cultivatedmeat, labgrownmeat, meatalternatives, veganlife",Entertainment ,"animal welfare, sustainability, vegan/vegetarian ",Negative,"manufactured, ""fake meat' , taste",vegans,FALSE,FALSE,79
37,2024-05-02,0:51,328700,35300,723,"business, tech, farmers, meat ",Entertainment/News,"animal welfare, sustainability, politics, economics ",Neutral,environmentally friendly,"Ron DeSeSantis, farmers, astronauts",FALSE,FALSE,51
38,2024-02-06,0:33,13800,1262,81,,Entertainment,safety,Neutral,,vegans,TRUE,FALSE,33
39,2025-02-24,1:05,371,38,5,"cultivated meat, 3dbioprinting, cultured meat, ad",Informative,"economics, politics",Neutral,Nebraska ban,ranchers/farmers,FALSE,FALSE,65
40,2024-07-18,1:39,13300,973,249,"vegan, cultivated meat, labgrownmeat, try, plantbased",Advertisting/News,"politics, economics ",Negative ,farm-grown,ranchers/farmers,FALSE,FALSE,99
41,2025-02-25,0:57,2711,109,16,"vegetarian, meateater, labgrown, pork, cultivatedmeat",Informative,politics,Neutral / Negative leaning ,"Nebraska ban, scaling",ranchers/farmers,FALSE,FALSE,57
